Summary run status                                 FAIL
               
Artifacts dir                                      2021-02-12_16-24-09 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        confluence          
Dataset info                                       903501 pages        
Application nodes count                            1                   
Concurrency                                        200                 
Expected test run duration from yml file           2700 sec            
Actual test run duration                           141 sec             
Finished                                           (False, 'Actual test duration 141 sec < than expected test_duration 2700 sec.')
Compliant                                          (False, 'Test run duration 141 sec < than minimum test duration 2700 sec.')
Success                                            (False, 'One or more actions have success rate < 95.0 %.')
Has app-specific actions                           True                

Action                                            Success Rate        Avg time            Status              
locust_comment_page                                0.0                 0.016               Fail                
locust_create_and_edit_page:create_page            0.0                 0.0                 Fail                
locust_create_and_edit_page:create_page_editor     0.0                 0.053               Fail                
locust_create_blog:blog_editor                     0.0                 0.053               Fail                
locust_create_blog:feel_and_publish                0.0                 0.0                 Fail                
locust_like_page                                   100.0               0.069               OK                  
locust_login_and_view_dashboard                    100.0               1.375               OK                  
locust_search_cql:recently_viewed                  100.0               0.038               OK                  
locust_search_cql:search_results                   100.0               0.387               OK                  
locust_upload_attachment                           100.0               0.529               OK                  
locust_view_attachment                             100.0               0.158               OK                  
locust_view_blog                                   0.0                 0.545               Fail                
locust_view_dashboard                              100.0               1.255               OK                  
locust_view_page:open_page                         100.0               0.599               OK                  
locust_view_page:view_page_tree                    100.0               0.063               OK                  
selenium_a_login                                   100.0               0.635               OK                  
selenium_create_comment                            0.0                 20.784              Fail                
selenium_create_page                               0.0                 20.308              Fail                
selenium_edit_page                                 0.0                 20.626              Fail                
selenium_view_blog                                 100.0               0.606               OK                  
selenium_view_dashboard                            100.0               1.217               OK                  
selenium_view_page                                 100.0               0.475               OK                  
selenium_z_log_out                                 100.0               0.196               OK                  
locust_app_specific_action                         100.0               0.307               OK                  APP-SPECIFIC        
selenium_custom_action                             100.0               0.307               OK                  APP-SPECIFIC        
