Summary run status                                FAIL
                                             
Artifacts dir                                     2020-11-06_09-25-48                               
OS                                                Linux                                             
DC Apps Performance Toolkit version               3.2.0                                             
Application                                       confluence 7.4.4                                  
Dataset info                                      900532 pages                                      
Application nodes count                           1                                                 
Concurrency                                       200                                               
Expected test run duration from yml file          300 sec                                           
Actual test run duration                          611 sec                                           
Finished                                          (True, 'OK')                                      
Compliant                                         (False, 'Test run duration 611 sec < than minimum test duration 2700 sec.')
Success                                           (False, 'One or more actions have success rate < 95.0 %.')
Has app-specific actions                          False                                             

Action                                           Success Rate                                      Status                                            
locust_comment_page                               100.0                                             OK                                                
locust_create_blog                                100.0                                             OK                                                
locust_create_blog_editor                         100.0                                             OK                                                
locust_create_page                                100.0                                             OK                                                
locust_create_page_editor                         100.0                                             OK                                                
locust_edit_page                                  100.0                                             OK                                                
locust_like_page                                  100.0                                             OK                                                
locust_login_and_view_dashboard                   100.0                                             OK                                                
locust_open_editor                                100.0                                             OK                                                
locust_search_cql                                 100.0                                             OK                                                
locust_search_recently_viewed                     100.0                                             OK                                                
locust_upload_attachments                         97.14                                             OK                                                
locust_view_attachments                           100.0                                             OK                                                
locust_view_blog                                  100.0                                             OK                                                
locust_view_dashboard                             100.0                                             OK                                                
locust_view_page                                  100.0                                             OK                                                
locust_view_page_tree                             100.0                                             OK                                                
selenium_a_login                                  100.0                                             OK                                                
selenium_create_comment                           100.0                                             OK                                                
selenium_create_page                              80.0                                              Fail                                              
selenium_edit_page                                100.0                                             OK                                                
selenium_view_blog                                100.0                                             OK                                                
selenium_view_dashboard                           40.0                                              Fail                                              
selenium_view_page                                100.0                                             OK                                                
selenium_z_log_out                                100.0                                             OK                                                
